Restaurant Name,City,Address,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Aman Chicken,Ludhiana,"Jagjit Nagar, Near Railway Crossing, Near Shastri Nagar, Ludhiana",Shastri Nagar,75.82961485,30.89018388,"North Indian, Mughlai",800,Indian Rupees(Rs.),No,No,No,2,4.6,Dark Green,Excellent,196,India
District 6,Ludhiana,"4th Floor, Silver Arch Mall, Ferozpur Road, Gurdev Nagar, Ludhiana","Silver Arc Mall, Gurdev Nagar",75.82680825,30.90287228,"European, Chinese",1600,Indian Rupees(Rs.),No,No,No,3,3.8,Yellow,Good,53,India
The BrewMaster - The Mix Fine Dine,Ludhiana,"3rd Floor, Westend Mall, Rajguru Nagar, Ludhiana","Westend Mall, Rajguru Nagar",75.78825854,30.88591491,"North Indian, Continental",1500,Indian Rupees(Rs.),No,No,No,3,3.9,Yellow,Good,154,India
#45,Mangalore,"Ground Floor, Trinity Commercial Complex, Near Central Railway Station, Attavara Road, Attavar, Mangalore",Attavar,0.0,0.0,Cafe,600,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,209,India
Crave Desserts & Bakes,Mangalore,"Deepa Paradise, Balmatta, Mangalore",Balmatta,74.85362222,12.87369722,"Desserts, Bakery",200,Indian Rupees(Rs.),No,No,No,1,3.9,Yellow,Good,196,India
Diesel Cafe,Mangalore,"Ground Floor, Hotel Prestige, Near Collector's Gate, Balmatta, Mangalore",Balmatta,74.85274444,12.87367778,"American, Italian",900,Indian Rupees(Rs.),No,No,No,3,3.8,Yellow,Good,196,India
Froth On Top,Mangalore,"Silk House, Balmatta Arya Samaj Road, Balmatta, Mangalore",Balmatta,74.85158611,12.87353056,"Chinese, Mangalorean",700,Indian Rupees(Rs.),No,No,No,2,3.7,Yellow,Good,355,India
Hao Ming,Mangalore,"Yenepoya Chambers, Opposite Hotel Prestige, Balmatta, Mangalore",Balmatta,74.85343056,12.87343056,Chinese,600,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,280,India
Kobe Sizzlers,Mangalore,"G-1, Parin Tower, Collectors Gate Circle, Balmatta Road, Balmatta, Mangalore",Balmatta,74.85209855,12.87334761,"Continental, American",1000,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,104,India
Liquid Lounge,Mangalore,"KMC Mercara Trunk Road, Near Hotel Woodside, Balmatta, Mangalore",Balmatta,74.84665556,12.87073611,"Finger Food, Continental, North Indian",800,Indian Rupees(Rs.),No,No,No,3,3.8,Yellow,Good,290,India
Maharaja Restaurant,Mangalore,"1st Floor, Trade Centre, Near Jyothi Circle, Bunts Hostel Road, Balmatta, Mangalore",Balmatta,74.84863333,12.87378611,"South Indian, North Indian",700,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,275,India
Giri Manja's,Mangalore,"Near Kalikamba Temple, Gopalkrishna Temple Road, Bhavathi, Mangalore Bhavathi",Bhavathi,0.0,0.0,Seafood,500,Indian Rupees(Rs.),No,No,No,2,4.2,Green,Very Good,281,India
Kabab Studio,Mangalore,"Goldfinch Hotel, Bunts Hostel Road, Near Jyoti Circle, Balmatta, Mangalore","Goldfinch Hotel, Balmatta",74.85006667,12.87582222,"North Indian, Mughlai",1500,Indian Rupees(Rs.),No,No,No,4,3.5,Yellow,Good,183,India
Brio Cafe and Grill,Mangalore,"Sainik Bhavan, Next to St Aloysius College, Lighthouse Hill, Hampankatta, Mangalore",Hampankatta,74.84500254,12.87221736,"Cafe, Continental",500,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,84,India
Gajalee Sea Food,Mangalore,"Circuit House Compound, Opposite Kadri Police Station, Kadri, Mangalore",Kadri,0.0,0.0,"Seafood, North Indian",750,Indian Rupees(Rs.),No,No,No,3,3.9,Yellow,Good,257,India
Smoke N Oven,Mangalore,"Opposite Vijaya Bank, Bejai Main Road, Bejai, Mangalore",Kadri,0.0,0.0,"Pizza, Italian",600,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,127,India
Village Restaurant,Mangalore,"Airport Road, Yeyyadi, Kadri, Mangalore",Kadri,74.85946446,12.89897943,"Chinese, Continental, North Indian, Mughlai",1000,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,260,India
Barbeque Nation,Mangalore,"3rd Floor, MAK Mall, Kankanady, Mangalore",Kankanady,0.0,0.0,"North Indian, Chinese",1600,Indian Rupees(Rs.),No,No,No,4,3.7,Yellow,Good,193,India
Machali,Mangalore,"Behind Ocean Pearl, Sharada Vidhyalaya Road, Kodailbail, Mangalore",Kodailbail,0.0,0.0,Seafood,800,Indian Rupees(Rs.),No,No,No,3,4.1,Green,Very Good,245,India
Punjab Da Pind,Mangalore,"3rd Floor, Excel Mischief Mall, KS Rao Road, Mangalore, KS Rao Nagar, Mangalore",KS Rao Nagar,0.0,0.0,"North Indian, Mughlai, Chinese, Mangalorean",1000,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,173,India
Sizzler's Ranch,Mangalore,"Nehru Avenue Road, Behind City Corporation, Lalbagh, Mangalore",Lalbagh,0.0,0.0,Continental,700,Indian Rupees(Rs.),No,No,No,2,3.8,Yellow,Good,328,India
Spindrift,Mangalore,"5th Floor, Bharath Mall, Lalbagh, Mangalore",Lalbagh,0.0,0.0,"North Indian, Italian, Finger Food",700,Indian Rupees(Rs.),No,No,No,2,3.9,Yellow,Good,156,India
Sagar Ratna,Mangalore,"Hotel Ocean Pearl, KS Rao Road, Near PVS Circle, Kodailbail, Mangalore","The Ocean Pearl, Kodailbail",74.84048333,12.87505833,"South Indian, North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,2,3.7,Yellow,Good,175,India
The Shooters Cafe,Mohali,"SCO 654,Himalaya Marg Road, Sector 70, Mohali, Chandigarh",Sector 70,76.7187888,30.6955506,"Continental, North Indian",550,Indian Rupees(Rs.),No,Yes,No,2,4.3,Green,Very Good,99,India
Joey's Pizza,Mumbai,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar, Azad Nagar, Mumbai",Azad Nagar,72.829976,19.12663,Pizza,800,Indian Rupees(Rs.),No,No,No,2,4.0,Green,Very Good,5145,India
Cafe Hydro,Mumbai,"Esspee Tower, Rajendra Nagar, Dattapada Road, Borivali East, Mumbai",Borivali East,72.86238123,19.22131488,Asian,1000,Indian Rupees(Rs.),No,No,No,3,4.0,Green,Very Good,156,India
The American Joint,Mumbai,"The Ahcl Homes Tower, Chikuwadi New Link Road, Borivali West, Mumbai",Borivali West,72.8413473,19.2238399,"Healthy Food, American, Burger, Salad",850,Indian Rupees(Rs.),Yes,No,No,2,3.4,Orange,Average,170,India
The Fusion Kitchen,Mumbai,"Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai",Borivali West,72.848923,19.254567,"North Indian, Italian, Chinese, Mexican",1000,Indian Rupees(Rs.),Yes,Yes,No,3,4.7,Dark Green,Excellent,2083,India
145 Kala Ghoda,Mumbai,"145, Kala Ghoda, Fort, Mumbai",Fort,72.83258457,18.92758399,"Fast Food, Beverages, Desserts",1500,Indian Rupees(Rs.),No,No,No,3,4.2,Green,Very Good,1606,India
Tea Villa Cafe,Mumbai,"31, Opposite Globus, Hill Road, Bandra West","Hill Road, Bandra West",72.83398401,19.05583064,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,Yes,No,3,4.1,Green,Very Good,2040,India
Grandmama's Cafe,Mumbai,"Hotel Royal Garden, Ground Floor, Juhu Tara Road, Juhu, Mumbai",Juhu,72.82780755,19.09145752,"Continental, Italian",1100,Indian Rupees(Rs.),No,No,No,3,3.8,Yellow,Good,617,India
Mumbai Vibe,Mumbai,"Ganga Jamuna Block, 14th Road, Linking Road, Bandra West","Linking Road, Bandra West",72.83265799,19.06583751,"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",1000,Indian Rupees(Rs.),Yes,No,No,3,3.8,Yellow,Good,146,India
The Rolling Pin,Mumbai,"12, Janta Industrial Estate, Senapat Bapat Road, Lower Parel, Mumbai",Lower Parel,72.82520279,18.99404899,"Bakery, Desserts, Cafe",700,Indian Rupees(Rs.),No,Yes,No,2,3.9,Yellow,Good,2076,India
Farzi Cafe,Mumbai,"Kamala Mills, Near Radio Mirchi Office, Lower Parel, Mumbai",Lower Parel,72.82764997,19.0035172,Modern Indian,1500,Indian Rupees(Rs.),No,No,No,3,4.3,Green,Very Good,1240,India
SpiceKlub,Mumbai,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road, Lower Parel, Mumbai",Lower Parel,72.82555282,18.99423667,North Indian,1500,Indian Rupees(Rs.),No,Yes,No,3,4.2,Green,Very Good,3370,India
Tea Villa Cafe,Mumbai,"Shop 1& 2, Y-Building, Flower Valley, Opposite Viviana Mall,Eastern Express Highway, Majiwada, Thane West","Majiwada, Thane West",72.97228105,19.20722241,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,No,No,3,3.9,Yellow,Good,317,India
Joey's Pizza,Mumbai,"Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace, Malad West, Mumbai",Malad West,72.834715,19.178321,Pizza,800,Indian Rupees(Rs.),No,Yes,No,2,4.5,Dark Green,Excellent,2662,India
Stacks And Racks,Mumbai,"Shop 1, Ganga Nivas, Opposite Toyota Showroom, Link Road, Malad West, Mumbai",Malad West,72.83619149,19.18129965,"American, Burger, Fast Food",500,Indian Rupees(Rs.),No,No,No,2,4.6,Dark Green,Excellent,413,India
The English Department Bar & Diner,Mumbai,"Malad link Road, Near Inorbit Mall Junction, Malad West, Mumbai",Malad West,72.83672087,19.17626869,"Italian, Continental, Mexican, Japanese, American, British",1500,Indian Rupees(Rs.),Yes,No,No,3,3.9,Yellow,Good,885,India
Mirchi And Mime,Mumbai,"Transocean House, Lake Boulevard, Hiranandani Business Park, Powai, Mumbai",Powai,72.90738534,19.12008268,"North Indian, South Indian, Mughlai",1500,Indian Rupees(Rs.),No,No,No,3,4.9,Dark Green,Excellent,3244,India
38 Degree East,Mumbai,"Panchkutir, Pawarwardi, Adhishankracharya Marg, Opposite Powai Lake, JVLR,Powai, Mumbai",Powai,72.90849264,19.12199866,"North Indian, Chinese, Thai",1000,Indian Rupees(Rs.),Yes,No,No,3,3.8,Yellow,Good,181,India
R' ADDA,Mumbai,"Ramee Guestline Hotel, 462, A B Nair Road, Juhu, Mumbai","Ramee Guestline Hotel, Juhu",72.825451,19.1093,"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",1200,Indian Rupees(Rs.),No,No,No,3,4.0,Green,Very Good,536,India
Tea Villa Cafe,Mumbai,"28, Aaram Nagar 1, Opposite Dariya Mahal, Versova, Andheri West","Versova, Andheri West",72.8130738,19.1311405,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,Yes,No,3,4.1,Green,Very Good,1295,India
Tea Villa Cafe,Mumbai,"Pardhy House, Opposite Jain Temple, Junction of MG Road and Hanuman Road, Vile Parle East, Mumbai",Vile Parle East,72.846749,19.103249,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000,Indian Rupees(Rs.),Yes,Yes,No,3,3.6,Yellow,Good,1515,India
Hotel RRR Mysore,Mysore,"Gandhi Square, Chamrajpura, Mysore",Chamrajpura,76.65487778,12.31107222,Andhra,290,Indian Rupees(Rs.),No,No,No,1,3.4,Orange,Average,139,India
Jalpaan Dining Saga,Mysore,"366, 2nd & 3rd Floor, Near Ramaswamy Circle, Chamaraja Mohalla, Chamrajpura, Mysore",Chamrajpura,76.64362222,12.30456944,"North Indian, Chinese, Italian",900,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,172,India
The Old House,Mysore,"451, Jhansi Rani Lakshmi Bai Road, Chamrajpura, Mysore",Chamrajpura,76.64262,12.299524,Italian,800,Indian Rupees(Rs.),No,No,No,3,3.9,Yellow,Good,264,India
Vinayaka Mylari,Mysore,"79, Nazarbad Main Road, Near Police Station, Doora, Mysore",Doora,76.66580833,12.3085,South Indian,300,Indian Rupees(Rs.),No,No,No,1,4.2,Green,Very Good,392,India
Empire Restaurant,Mysore,"2820/1, 8th Cross, Kalidasa Road, Vani Vilas Mohalla, Gokulam, Mysore",Gokulam,76.62796111,12.32397778,"North Indian, Andhra, Mughlai",500,Indian Rupees(Rs.),No,No,No,2,3.7,Yellow,Good,393,India
Green Leaf,Mysore,"Opposite Reebok Showroom, Kalidasa Road, Vani Vilas Mohalla, Gokulam, Mysore",Gokulam,76.62616667,12.32399444,"North Indian, Chinese, South Indian",400,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,214,India
Pakva Lounge,Mysore,"Livin Corner, Temple Road, Vani Vilas Mohalla, Gokulam, Mysore",Gokulam,76.63227778,12.32546111,"Italian, North Indian, South Indian",650,Indian Rupees(Rs.),No,No,No,2,3.7,Yellow,Good,262,India
Spring - Radisson Blu Plaza,Mysore,"Radisson Blu Plaza, 1, MG Road, Ittige Gudu, Mysore",Ittige Gudu,76.665169,12.297954,"Continental, North Indian, South Indian",1700,Indian Rupees(Rs.),No,No,No,4,3.8,Yellow,Good,162,India
Big Chicken,Mysore,"2902/1, Temple Road, Opposite Post Office, Vani Vilas Mohalla, Jayalakhsmipuram, Mysore",Jayalakhsmipuram,76.63058333,12.32319444,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,160,India
Barbeque Nation,Mysore,"Ground Floor, BM Habitat Mall, Gokulam Main Road, Jayalakhsmipuram, Mysore",Jayalakhsmipuram,76.62109444,12.32121389,"North Indian, European, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,4,4.0,Green,Very Good,286,India
Pizza Hut,Mysore,"Opposite Loyal World Super Market, Temple Road,  Vani Vilas Mohalla, Jayalakhsmipuram, Mysore",Jayalakhsmipuram,76.63002778,12.323225,"Pizza, Italian",700,Indian Rupees(Rs.),No,No,No,2,4.0,Green,Very Good,304,India
Tandooriwala,Mysore,"26, 1st Stage, KHB, Nrupathunga Road, Kuvempunagar, Mysore",Kuvempunagar,76.62586111,12.28474722,North Indian,700,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,127,India
Jungle The Restaurant,Mysore,"Pai Hotels, Bangalore Nilgiri Road, Opposite Suburban Bus Stand, Mysore, Doora, Mysore","Pai Hotels, Doora",76.65926389,12.31097222,"North Indian, Continental, Chinese",1000,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,132,India
The Barge Restaurant,Mysore,"Plot 440A, Hebbal Industrial Area, Near Infosys Campus, Vijay Nagar, Mysore",Vijay Nagar,0.0,0.0,"Continental, Chinese, North Indian",1500,Indian Rupees(Rs.),No,No,No,4,3.3,Orange,Average,11,India
By The Way,Mysore,"Next to Bhartat Cancer Hospital, Opposite Infosys Circle Ring Road, Vijay Nagar, Mysore",Vijay Nagar,76.60665,12.35205833,"North Indian, Chinese, South Indian",650,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,190,India
Cafe Cornucopia,Mysore,"22nd Cross, 14th Main, 3rd Stage, Block C, Vijay Nagar, Mysore",Vijay Nagar,76.60306667,12.31696667,"Cafe, Continental, European, Beverages",700,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,140,India
Mezzaluna,Mysore,"First Floor, Kuvempu Trust Building, Near Chandrakala Hospital, New Kalidasa Road, Vijayanagar, Vijay Nagar, Mysore",Vijay Nagar,76.61910278,12.32635556,"Continental, South Indian",650,Indian Rupees(Rs.),No,No,No,2,3.8,Yellow,Good,249,India
Nanking,Mysore,"High Tension Double Road, Near Vidyavardhaka College,  2nd Stage, Vijay Nagar, Mysore",Vijay Nagar,76.61788889,12.33792778,"Chinese, Thai",550,Indian Rupees(Rs.),No,No,No,2,3.7,Yellow,Good,208,India
Oyster Bay,Mysore,"Kannada Parishath Road, 1st Stage, Vijay Nagar, Mysore",Vijay Nagar,76.61820278,12.33402222,"North Indian, Asian, Continental",1000,Indian Rupees(Rs.),No,No,No,3,3.6,Yellow,Good,270,India
Purple Haze,Mysore,"129-131, High Tension Double Road, Mahadeswara Badavane, 2nd Stage, Vijay Nagar, Mysore",Vijay Nagar,76.61679167,12.33797778,Finger Food,1200,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,183,India
House of Caffeine,Nagpur,"J 12, Besides Face & Figure Gym, WHC Road, Laxmi Nagar, Nagpur",Bajaj Nagar,79.06428449,21.12420256,Fast Food,500,Indian Rupees(Rs.),No,No,No,2,3.3,Orange,Average,27,India
Hide Out The Street Cafe,Nagpur,"4, Plot No 54, Raghukul  Building, Bajaj Nagar, Nagpur",Bajaj Nagar,79.06046167,21.12949694,Cafe,250,Indian Rupees(Rs.),No,No,No,1,3.8,Yellow,Good,73,India
Tapri The Chai Books Cafe,Nagpur,"75, Abhyankar Nagar, Near Bajaj Nagar, Nagpur",Bajaj Nagar,0.0,0.0,"Continental, Fast Food, Tea",250,Indian Rupees(Rs.),No,No,No,1,3.9,Yellow,Good,26,India
Eat Street Express,Nagpur,"Shraddhanandpeth Square, Opposite A-Square Building, Abhyankar Road, Near, Bajaj Nagar, Nagpur",Bajaj Nagar,79.05922417,21.12499944,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,2,4.0,Green,Very Good,103,India
Zaikart,Nagpur,"Plot-17, Sneha Gayatri Nagar, IT Park, Gayatri Nagar, Near Bajaj Nagar, Nagpur",Bajaj Nagar,79.04722832,21.11882292,"North Indian, Mughlai",550,Indian Rupees(Rs.),No,Yes,No,2,4.3,Green,Very Good,88,India
Cafe Zinea,Nagpur,"56, Temple Road, Civil Lines, Nagpur",Civil Lines,79.0679011,21.1481626,"Cafe, Chinese, Fast Food, Italian",400,Indian Rupees(Rs.),No,Yes,No,2,3.7,Yellow,Good,201,India
Checker's,Nagpur,"23 to 25, VCA Complex, Civil Lines, Nagpur",Civil Lines,79.07658678,21.15841584,"Fast Food, Chinese",550,Indian Rupees(Rs.),No,Yes,No,2,4.0,Green,Very Good,185,India
The B.A.W.A,Nagpur,"Opposite VCA Stadium, Civil Lines, Nagpur",Civil Lines,79.07730427,21.15619053,Cafe,600,Indian Rupees(Rs.),No,Yes,No,2,4.2,Green,Very Good,164,India
FSB,Nagpur,"B/9, Orange City Towers, Opposite Tilak Patrakar Bhavan, Dhantoli, Nagpur",Dhantoli,79.08047698,21.13851031,"Continental, North Indian, Thai, Chinese",1100,Indian Rupees(Rs.),No,No,No,3,4.3,Green,Very Good,270,India
NESCAFí Illusions,Nagpur,"Oppsite Dharampeth High School, North Ambazari Road, Near ICICI Bank, Lad Apartment., Dharampeth, Nagpur",Dharampeth,79.0651371,21.13685791,Cafe,350,Indian Rupees(Rs.),No,No,No,2,3.9,Yellow,Good,140,India
Nineties,Nagpur,"Opposite Traffice Park, Dharampeth, Nagpur",Dharampeth,79.06652045,21.14083972,"Cafe, Fast Food",250,Indian Rupees(Rs.),No,Yes,No,1,3.9,Yellow,Good,19,India
Mocha,Nagpur,"202, Cement Road, Shankar Nagar, Dharampeth, Nagpur",Dharampeth,79.05853249,21.13784829,"Cafe, Continental",750,Indian Rupees(Rs.),No,Yes,No,3,4.0,Green,Very Good,284,India
The Zuree Urban Kitchen,Nagpur,"8A, AD Complex, Mount Road, Mohan Nagar, Nagpur",Mohan Nagar,79.08184659,21.15848119,"North Indian, Italian, Continental",1200,Indian Rupees(Rs.),No,Yes,No,3,4.4,Green,Very Good,257,India
The Breakfast Story,Nagpur,"Opposite Transmitting Station, Hingna Road, Jaitala, Pratap Nagar, Nagpur",Pratap Nagar,79.03866302,21.1232834,Cafe,600,Indian Rupees(Rs.),No,No,No,2,4.5,Dark Green,Excellent,520,India
Ten Downing Street Restaurant & Bar,Nagpur,"5th Floor, Milestone Building, Wardha Road, Ramdaspeth, Nagpur",Ramdaspeth,79.07851763,21.13672376,"Chinese, Continental, North Indian",1000,Indian Rupees(Rs.),No,No,No,3,4.0,Green,Very Good,306,India
Ashoka Restaurant,Nagpur,"60, Sadar Bazar Main Road, Sadar, Nagpur",Sadar,79.079819,21.159225,"North Indian, Chinese, Continental",1300,Indian Rupees(Rs.),No,Yes,No,3,4.2,Green,Very Good,275,India
Barbeque Nation,Nagpur,"2nd Floor, Eternity Mall, Amravati Road, Sitabuldi, Nagpur",Sitabuldi,79.080247,21.143272,"North Indian, European, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,4,4.9,Dark Green,Excellent,226,India
KFC,Nagpur,"G1-G2, Ground Floor, Eternity Mall, Variety Square, Amravati Road, Sitabuldi, Nagpur",Sitabuldi,79.08040556,21.14353333,"American, Fast Food",550,Indian Rupees(Rs.),No,Yes,No,2,2.2,Red,Poor,147,India
Moksh The Restro Lounge,Nagpur,"Panchshil Chowk, Sitabuldi, Nagpur",Sitabuldi,79.08009443,21.14014612,"Seafood, Chinese, Thai",1000,Indian Rupees(Rs.),No,No,No,3,4.0,Green,Very Good,100,India
Mainland China,Nagpur,"Deepika Hospitalities Private Ltd, Plot 19, Wardha Road, Vivekanand Nagar, Nagpur",Vivekanand Nagar,79.06482127,21.08922374,Chinese,1000,Indian Rupees(Rs.),No,No,No,3,3.8,Yellow,Good,45,India
Divtya Budhlya Wada Restaurant,Nashik,"Next to Dura Gas Pump, Gangapur Rd, Ganpati Nagar, Anand Wali Goan, Nashik",Anand Wali Goan,0.0,0.0,Maharashtrian,400,Indian Rupees(Rs.),No,No,No,2,3.8,Yellow,Good,76,India
Spice Route,Nashik,"Gangapur Road, Navasha Ganpati, Sector C, Near Union Bank, Anand Wali Goan, Nashik",Anand Wali Goan,73.74210622,20.01361026,"North Indian, Maharashtrian",1000,Indian Rupees(Rs.),No,No,No,4,3.6,Yellow,Good,91,India
Veg Aroma,Nashik,"Opposite Durga Gas Pump, Gangapur Road, Anand Wali, Nashik, Anand Wali Goan, Nashik",Anand Wali Goan,73.74589243,20.01207513,North Indian,600,Indian Rupees(Rs.),No,No,No,3,3.6,Yellow,Good,125,India
Eastern Spice,Nashik,"Bon Vivant, Opposite Dongre Ground, College Road, Nashik","Bon Vivant, College Road",73.770914,20.006756,North Indian,800,Indian Rupees(Rs.),No,No,No,3,3.5,Yellow,Good,140,India
The Bake Studio,Nashik,"Bon Vivant, Opposite Dongre Ground, College Road, Nashik","Bon Vivant, College Road",73.770914,20.006756,"Cafe, Desserts",400,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,86,India
Barbeque Nation,Nashik,"2nd Floor, City Centre Mall, Sambaji Chowk, Lawate Nagar, Banyan Square, Untwadi, Off Parijat Nagar, Parijat Nagar, Nashik","City Center, Parijat Nagar",73.760948,19.990707,"North Indian, European, Mediterranean, Asian",1500,Indian Rupees(Rs.),No,No,No,4,3.8,Yellow,Good,117,India
Chai Tapri,Nashik,"Shop 2, Chandan Apartments, Model Colony, College Road, Nashik",College Road,0.0,0.0,Cafe,150,Indian Rupees(Rs.),No,No,No,1,3.4,Orange,Average,86,India
Curry Leaves,Nashik,"Jehan Circle, Gangapur Road, College Road, Nashik",College Road,73.75582778,20.01271111,"North Indian, Chinese, Fast Food",600,Indian Rupees(Rs.),No,No,No,3,3.4,Orange,Average,162,India
Enter The Dragon,Nashik,"4th Floor, Archit Arcade, Above Peter England, Near Big Bazar, College Road, Nashik",College Road,73.76653333,20.00551389,Chinese,700,Indian Rupees(Rs.),No,No,No,3,3.4,Orange,Average,177,India
The Cafe Katta,Nashik,"Muktangan Apartment, Model Colony, College Road, Nashik",College Road,73.756229,20.008442,Cafe,600,Indian Rupees(Rs.),No,No,No,3,3.3,Orange,Average,15,India
White X Sky Lounge,Nashik,"4th Floor, B Wing, Bosco Center, Prasad Circle, Gangapur Road, College Road, Nashik",College Road,0.0,0.0,North Indian,800,Indian Rupees(Rs.),No,No,No,3,3.4,Orange,Average,24,India
12212,Nashik,"Shop 10, Ramrajya Building 7, Samarth Nagar, Next to Bhonsala Military school, College Road, Nashik",College Road,73.75463597,20.00669049,Fast Food,400,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,80,India
Al Arabian Express,Nashik,"Near Big Bazar, College Road, Nashik",College Road,73.76504313,20.0037341,Mughlai,500,Indian Rupees(Rs.),No,No,No,3,3.7,Yellow,Good,162,India
RiverDine Restaurant & Bar,Nashik,"Opposite Asaram Bapu Ashram Bridge, Near Nandawan Lawns, Savarkar Nagar Extension, Off Gangapur Road, College Road, Nashik",College Road,0.0,0.0,"North Indian, Chinese",500,Indian Rupees(Rs.),No,No,No,3,3.5,Yellow,Good,166,India
Barbeque Ville,Nashik,"Karambelkar Tower, Mumbai Agra Road, Cidco, Near Dutta Tyres, Parijat Nagar, Nashik",Parijat Nagar,73.77734005,19.97720852,North Indian,1100,Indian Rupees(Rs.),No,No,No,4,3.8,Yellow,Good,164,India
Little Italy,Nashik,"36/2, Govardhan Village, Off Gangapur-Savargaon Road, Satpur, Nashik",Satpur,0.0,0.0,Italian,800,Indian Rupees(Rs.),No,No,No,3,3.0,Orange,Average,25,India
Soma at Sula,Nashik,"Survey 36/2, Govardhan, Off Gangapur-Ganghavare Road, Satpur, Nashik",Satpur,0.0,0.0,North Indian,1000,Indian Rupees(Rs.),No,No,No,4,3.3,Orange,Average,33,India
Hotel Radhakrishna,Nashik,"P-35, MIDC, Satpur, Nashik Behind ITI, Trimbak Road,",Satpur,73.74630857,19.98975665,"Malwani, North Indian, Chinese, Seafood",400,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,77,India
Sadhana Restaurant,Nashik,"Hardev Bagh, Near Someshwar, Motiwala College Road, Gangapur Road, Near Satpur, Nashik",Satpur,73.72076757,20.02091783,Maharashtrian,100,Indian Rupees(Rs.),No,No,No,1,3.9,Yellow,Good,218,India
House Of Flavours,Nashik,"SSK Solitaire, Ahilyabai Holkar Marg, Tidke Colony, Near Mumbai Naka, Satpur, Nashik","SSK Solitaire, Satpur",73.776176,19.991295,"North Indian, Chinese, Continental",900,Indian Rupees(Rs.),No,No,No,3,3.4,Orange,Average,71,India
Food Cloud,New Delhi,"Aaya Nagar, New Delhi",Aaya Nagar,0.0,0.0,Cuisine Varies,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,2,India
Burger.in,New Delhi,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,77.19692286,28.53538174,Fast Food,350,Indian Rupees(Rs.),No,Yes,No,1,3.2,Orange,Average,46,India
Days of the Raj,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,77.19747473,28.53549308,"North Indian, Seafood, Continental",1500,Indian Rupees(Rs.),Yes,Yes,No,3,3.4,Orange,Average,45,India
Dilli Ka Dhaba,New Delhi,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,77.1980333,28.5375472,"South Indian, North Indian",500,Indian Rupees(Rs.),No,No,No,2,2.6,Orange,Average,11,India
Govardhan,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,77.1969242,28.5355234,"South Indian, North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,No,2,3.4,Orange,Average,238,India
Mezbaan Grills,New Delhi,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,77.1981225,28.5381335,Mughlai,400,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,8,India
